"subject","choiceTrial","choiceRt","chosenDeckId","difference","difficulty","selectedDeckLocation","leftDeckId","rightDeckId","riskyDeckSwitchTop","riskyDeckSwitchBottom","safeDeckSwitch","outcomeSwitch","condition","selectedRiskyDeck"
1,3,1594,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,8,"EE",1
1,4,2265,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,12,"HM",1
1,5,2649,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,8,"EM",1
1,6,2385,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
1,7,1980,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,8,"HE",1
1,8,2777,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,2,"EE",1
1,9,3632,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
1,10,1729,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
1,12,2697,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
1,13,2307,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
1,14,2027,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
1,15,2313,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,8,"EM",1
1,16,1681,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
1,17,1938,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,14,"HE",1
1,18,1791,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
1,19,1985,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,2,"EE",1
1,20,3481,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,4,"EM",1
1,21,3049,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,2,"EE",1
1,22,1858,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
1,24,2818,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,8,"HM",1
1,25,2457,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,8,"EM",1
1,26,2180,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,8,"HM",1
1,27,1787,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,8,"HE",1
1,28,2276,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
1,29,1433,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
1,30,1593,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
1,31,1632,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
1,32,1978,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
1,33,1521,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
1,34,1466,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
1,35,1443,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
1,36,1217,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
1,37,2802,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,2,"EE",1
1,38,2451,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
1,39,1339,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",8,12,10,12,"HM",1
1,40,1281,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
2,2,2688,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,8,"EE",1
2,3,3472,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
2,4,2184,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
2,5,2769,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
2,6,2441,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
2,7,2386,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
2,8,2123,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
2,10,1690,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
2,11,1321,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,8,"EM",1
2,12,2777,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,8,"EE",1
2,13,1018,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
2,14,1073,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,8,"EM",1
2,15,2329,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
2,16,2113,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
2,18,2555,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
2,19,1521,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
2,20,921,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
2,21,1313,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
2,22,1562,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
2,23,808,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
2,24,1849,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
2,25,649,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
2,26,1345,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
2,27,1169,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
2,28,2025,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,2,"EE",1
2,29,1977,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,2,"EE",1
2,30,1634,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
2,31,1585,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
2,32,1410,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,8,"EM",1
2,33,1665,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
2,34,1025,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,11,"HE",0
2,35,2273,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
2,36,1673,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
2,37,2170,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,11,"HE",0
2,38,2257,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
2,39,1585,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
2,40,3233,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,2,"EE",1
3,4,3276,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
3,5,4593,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
3,6,2440,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
3,7,3309,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
3,8,3093,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
3,9,1575,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
3,10,3698,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
3,11,2039,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
3,12,1895,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
3,13,2208,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
3,14,1391,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
3,15,1718,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
3,16,2840,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
3,17,1338,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
3,18,1850,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,11,"HE",0
3,19,1491,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
3,20,1043,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
3,21,3975,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
3,22,900,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
3,23,2820,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
3,24,1142,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
3,25,2992,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
3,26,1015,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
3,27,1523,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
3,28,3904,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
3,29,1294,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
3,30,1330,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
3,31,2883,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
3,32,1829,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
3,33,3355,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
3,34,1476,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
3,35,2478,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
3,36,1903,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
3,37,2047,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
3,38,1206,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
3,39,1714,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
3,40,1431,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
4,2,4450,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
4,3,5053,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
4,4,3073,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,8,"HE",1
4,5,5104,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,8,"HM",1
4,6,4882,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,8,"EE",1
4,7,2809,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
4,8,4083,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
4,9,3128,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
4,10,3700,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,2,"EE",1
4,11,3126,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,4,"EM",1
4,12,3829,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
4,13,2674,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
4,14,2891,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
4,15,2664,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
4,16,4179,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
4,18,3398,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
4,19,1921,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,4,"EM",1
4,20,3009,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,14,"HE",1
4,21,3407,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,14,"HE",1
4,22,2861,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,2,"EE",1
4,23,3600,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,12,"HM",1
4,24,3084,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,6,"EM",0
4,25,2582,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,8,"EM",1
4,26,1986,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
4,27,2551,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
4,28,2753,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
4,29,2498,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
4,31,2776,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
4,32,2103,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
4,34,2159,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,2,"EE",1
4,35,2194,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
4,36,2041,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
4,37,2472,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
4,38,2217,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
4,39,2120,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,6,"EM",0
4,40,2330,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,14,"HE",1
5,2,2524,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
5,3,2129,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
5,4,1989,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,8,"EE",1
5,5,2044,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,12,"HM",1
5,6,2089,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,8,"HE",1
5,7,1330,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,8,"EE",1
5,8,1048,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,8,"EM",1
5,9,2592,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
5,10,3204,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,8,"HE",1
5,11,2270,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,4,"EM",1
5,13,1641,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,8,"HM",1
5,14,2065,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
5,15,2012,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
5,16,1267,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
5,17,1609,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
5,18,2601,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
5,19,2480,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,2,"EE",1
5,20,1789,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
5,21,1842,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,2,"EE",1
5,22,1293,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
5,23,1417,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
5,24,1380,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
5,25,1462,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,8,"EE",1
5,26,2165,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,11,"HE",0
5,27,1568,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,4,"EM",1
5,28,1283,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,8,"HM",1
5,29,1269,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",8,12,10,12,"HM",1
5,30,1519,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,2,"EE",1
5,31,1947,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
5,32,1713,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
5,33,1775,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
5,34,1644,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
5,35,1526,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
5,36,1293,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,14,"HE",1
5,37,1837,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,8,"HM",1
5,38,1282,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,14,"HE",1
5,39,1540,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
5,40,1403,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,8,"EE",1
6,1,1897,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,8,"HE",1
6,2,2336,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
6,4,2164,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
6,5,2972,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
6,6,1620,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
6,7,2135,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,8,"EM",1
6,8,1328,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
6,9,1212,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
6,10,1224,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,8,"HM",1
6,11,1021,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
6,12,3225,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
6,13,2285,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
6,14,1972,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,8,"HM",1
6,15,1868,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,4,"EM",1
6,16,2889,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
6,17,1614,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,8,"EE",1
6,19,1625,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
6,20,1064,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
6,21,1401,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
6,22,1534,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,14,"HE",1
6,23,3505,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
6,24,1107,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,6,"EM",0
6,25,1834,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,8,"HM",1
6,26,772,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,6,"EM",0
6,27,2622,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,14,"HE",1
6,28,946,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
6,29,1500,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,14,"HE",1
6,30,789,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
6,31,1437,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
6,33,1263,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
6,34,1500,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
6,35,1309,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,14,"HE",1
6,36,2230,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
6,37,1569,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,2,"EE",1
6,38,1030,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",8,14,11,8,"HE",1
6,39,955,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
6,40,1108,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,8,"HM",1
7,4,4776,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
7,5,3180,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
7,6,3280,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
7,7,3360,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
7,8,3953,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
7,9,2705,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
7,10,2633,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
7,11,2425,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,11,"HE",0
7,12,4984,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
7,13,3632,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
7,14,2583,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
7,15,2479,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
7,16,2096,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,8,"HE",1
7,17,4241,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
7,18,2136,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
7,19,2863,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
7,20,2136,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
7,21,2585,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
7,22,2608,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
7,23,3367,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
7,24,2496,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
7,25,2393,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,2,"EE",1
7,26,2271,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
7,27,2179,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,11,"HE",0
7,28,2156,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
